"dataset","tissue","celltype","marker"
"tabulasapiens_top30","Muscle","macrophage","CD163,C1QA,C1QB,FCER1G,IL1B,TYROBP,S100A9,F13A1,LYZ,CXCL8,MS4A6A,LYVE1,LAPTM5,CTSS,C5AR1,MRC1,AIF1,VSIG4,C1QC,RNASE1,PLEK,FCGR2A,CTSB,LCP1,SRGN,BCL2A1,MS4A7,PLAUR,MS4A4A,GPR183"
"tabulasapiens_top30","Muscle","cd8-positive, alpha-beta t cell","CXCR4,ARHGDIB,IL7R,CD69,CCL5,RGS1,CST7,CD53,CD52,CD3D,PTPRC,CD2,TRAC,CYTIP,GZMB,CCL4,IL2RG,GNLY,CD3G,TRBC2,TMSB4XP8,TRBC1,RPL41P1,PARP8,AC090498.1,PRDM1,CD96,SAMSN1,PCED1B-AS1,RHOH"
"tabulasapiens_top30","Muscle","t cell","IL7R,CXCR4,PTPRC,STK4,ARL4C,SYTL3,CYTIP,SMAP2,RUNX3,CD52,BCL11B,IKZF1,DUSP2,CD69,CD53,CD2,SAMSN1,CRYBG1,LCP1,PARP8,HCST,CCL5,CD7,CD3D,KLRB1,RGS1,SPOCK2,CD3E,ITGA4,RHOH"
"tabulasapiens_top30","Muscle","smooth muscle cell","RERGL,CNN1,CSDC2,AC093390.1,MYH11,NRIP2,ACTG2,CASQ2,PLN,MYOCD,KCNAB1,OR51E1,SUSD5,LRRC10B,SBSPON,RCAN2,NTRK3,AC092164.1,ITIH3,GPR20,NRGN,ITGA8,SORBS2,KCNMB1,RBPMS2,KCNA5,MRVI1,FHL5,EDIL3,GRIP2"
"tabulasapiens_top30","Muscle","tendon cell","COMP,TNMD,ANGPTL7,SCX,CHAD,KERA,CILP2,PIEZO2,ASPN,CHODL,HHIP,SFRP5,SFRP4,BMPR1B,FMOD,PTN,ITGA10,THBS4,C1QTNF3,STEAP2,ANGPTL5,RARRES1,HHIP-AS1,CLDN1,PRG4,COL1A1,LUM,KCNMA1,COL11A1,AEBP1"
"tabulasapiens_top30","Muscle","fast muscle cell","TNNC2,ACTA1,CKM,TNNI2,MYLPF,ENO3,MYL1,TNNT3,TCAP,MYOZ1,DES,MB,SLN,COX6A2,ATP2A1,MYH2,PYGM,MYBPC1,CA3,ACTN2,EEF1A2,PGAM2,ALDOA,GAMT,NEB,FHL3,MYBPC2,ANKRD2,PGM1,RPL3L"
"tabulasapiens_top30","Muscle","slow muscle cell","MYL2,TNNC1,TNNT1,CKM,MB,TNNI1,DWORF,ENO3,CA3,ANKRD2,TCAP,MYL1,COX6A2,SLN,MYBPC1,MYH7,MYOZ1,MYL3,ACTN2,MYOT,EEF1A2,PPDPFL,HSPB7,FABP3,SMPX,S100A1,PYGM,MYOZ2,PLN,PPP1R1A"
"tabulasapiens_top30","Muscle","mast cell","TPSB2,TPSAB1,CPA3,CTSG,HPGDS,RHEX,KIT,TPSD1,MS4A2,HDC,FCER1A,RGS13,CMA1,LAX1,SLC18A2,SIGLEC6,GCSAML,AL157895.1,RAB27B,CALB2,MRGPRX2,AL731557.1,AC120498.2,AL078590.3,GPR65,AP1S3,SIGLEC17P,HECW2-AS1,KRT19,CD69"
"tabulasapiens_top30","Muscle","erythrocyte","ALAS2,HBM,HBD,AHSP,HBQ1,EPB42,CA1,HEMGN,HBA1,KRT1,TRIM58,NFE2,ABCC13,HBA2,SNCA,AC092490.1,PDZK1IP1,SLC4A1,DMTN,HBB,GYPB,MYL4,GMPR,SLC25A39,EPB41,LYL1,SLC38A5,SLC25A37,MALAT1,RPL15"
"tabulasapiens_top30","Muscle","mesothelial cell","ITLN1,KRT19,MSLN,CLDN1,CALB2,KLK11,MUC16,CXADR,DSC3,KRT5,UPK1B,SYT4,ANXA8,ALOX15,CGN,LRP2,NTNG1,HSD17B6,CA9,SERTM1,AADAC,IGHG4,SPRR2F,FAM110C,UNC5B-AS1,AP1M2,MAL2,PDZD3,AC139491.7,SLC28A3"
"tabulasapiens_top30","Muscle","mature nk t cell","GNLY,NKG7,GZMB,PRF1,CTSW,CST7,CCL5,RAC2,CD247,GZMH,FCGR3A,CD52,HCST,KLRD1,GZMA,FGFBP2,IL2RG,PLAC8,CD69,TRBC1,TRDC,HOPX,BIN2,KLRB1,KLRK1,KLRF1,SYTL3,LCK,PCED1B-AS1,STAT4"
"tabulasapiens_top10","Pancreas","pancreatic acinar cell","CELA2B,PNLIPRP2,AMY2B,KLK1,PRSS3,AMY2A,CELA2A,PDIA2,PNLIPRP1,SYCN"
"tabulasapiens_top10","Pancreas","t cell","IL7R,CCL5,CD2,CD3D,CD3E,CD3G,KLRD1,CCL4,CD8A,TRAC"
"tabulasapiens_top10","Pancreas","endothelial cell","SPARCL1,PLVAP,IFI27,FABP5,SOX18,ID1,VWF,CLEC14A,IGFBP4,FLT1"
"tabulasapiens_top10","Pancreas","myeloid cell","TYROBP,LYZ,CD163,S100A9,AIF1,S100A4,CYBB,S100A8,MAFB,FCER1G"
"tabulasapiens_top10","Pancreas","pancreatic stellate cell","DCN,TAGLN,STEAP4,MGP,TPM2,C7,IGFBP5,MFGE8,MYL9,PDGFRB"
"tabulasapiens_top10","Pancreas","nk cell","GNLY,GZMB,FGFBP2,CD247,KLRF1,GZMH,TRDC,NCR3,SH2D1B,NCR1"
"tabulasapiens_top10","Pancreas","fibroblast","LAMA2,PDGFRA,FGF7,ABCA9,POM121L9P,ABCA8,ABCA6,AC080038.1,COL1A2,SVEP1"
"tabulasapiens_top10","Pancreas","b cell","VPREB3,MS4A1,CD79A,AL139020.1,BANK1,FCRLA,CD19,TNFRSF13C,POU2AF1,PAX5"
"tabulasapiens_top10","Pancreas","pancreatic ductal cell","SLC4A4,CFTR,ANXA4,ATP1B1,AMBP,TACSTD2,CITED4,FXYD2,CLU,SOD3"
"tabulasapiens_top10","Pancreas","plasma cell","MZB1,TNFRSF17,CD79A,IGLL5,FCRL5,SLAMF7,CCR10,POU2AF1,JSRP1,CD27"
"tabulasapiens_top10","Pancreas","pancreatic beta cell","IAPP,PCSK1N,CHGA,SCG3,SLC30A8,CHGB,PTPRN,SHISAL2B,G6PC2,ABCC8"
"tabulasapiens_top10","Pancreas","mast cell","TPSAB1,TPSB2,CTSG,CPA3,RHEX,HPGDS,TPSD1,KIT,MS4A2,ADCYAP1"
"tabulasapiens_top10","Pancreas","pancreatic pp cell","PPY,CHGB,SCG2,ABCC8,SCG3,STMN2,ARX,PCSK2,PAX6,NEUROD1"
"tabulasapiens_top10","Pancreas","pancreatic alpha cell","PCSK1N,CHGA,CRYBA2,CHGB,SCG2,SLC30A8,PCSK2,SCG3,NEUROD1,SMIM24"
"tabulasapiens_top10","Pancreas","pancreatic delta cell","LY6H,GAST,AVPR1B,ECEL1,CRYGD,NPY,ERICH3,GPC5-AS1,TMPRSS6,SYT5"
"tabulasapiens_top20","Pancreas","pancreatic acinar cell","CELA2B,PNLIPRP2,AMY2B,KLK1,PRSS3,AMY2A,CELA2A,PDIA2,PNLIPRP1,SYCN,CTRL,PNLIP,SERPINI2,CTRC,ALB,CPA2,GATM,CEL,AQP8,CPB1"
"tabulasapiens_top20","Pancreas","t cell","IL7R,CCL5,CD2,CD3D,CD3E,CD3G,KLRD1,CCL4,CD8A,TRAC,TRBC2,CD8B,CXCR4,GZMA,CD7,HCST,IKZF1,KLRC1,PTPRC,CYTIP"
"tabulasapiens_top20","Pancreas","endothelial cell","SPARCL1,PLVAP,IFI27,FABP5,SOX18,ID1,VWF,CLEC14A,IGFBP4,FLT1,RAMP2,PECAM1,ID3,EPAS1,A2M,SPARC,ADGRL4,TGFBR2,CLDN5,CD36"
"tabulasapiens_top20","Pancreas","myeloid cell","TYROBP,LYZ,CD163,S100A9,AIF1,S100A4,CYBB,S100A8,MAFB,FCER1G,LAPTM5,CTSS,CD14,LCP1,MNDA,LST1,VCAN,ZEB2,MS4A7,ITGB2"
"tabulasapiens_top20","Pancreas","pancreatic stellate cell","DCN,TAGLN,STEAP4,MGP,TPM2,C7,IGFBP5,MFGE8,MYL9,PDGFRB,C1R,GPX3,RGS5,TIMP3,ACTA2,C11orf96,COL6A2,MAP1B,ADAMTS1,CALD1"
"tabulasapiens_top20","Pancreas","nk cell","GNLY,GZMB,FGFBP2,CD247,KLRF1,GZMH,TRDC,NCR3,SH2D1B,NCR1,GZMM,CST7,PRF1,LINC00861,TBX21,TMIGD2,SAMD3,PTGDR,PYHIN1,GZMA"
"tabulasapiens_top20","Pancreas","fibroblast","LAMA2,PDGFRA,FGF7,ABCA9,POM121L9P,ABCA8,ABCA6,AC080038.1,COL1A2,SVEP1,EMILIN1,ZFHX4,COL12A1,SCN7A,COL6A3,ADAM33,NAV3,SFRP2,CLMP,PDGFRB"
"tabulasapiens_top20","Pancreas","b cell","VPREB3,MS4A1,CD79A,AL139020.1,BANK1,FCRLA,CD19,TNFRSF13C,POU2AF1,PAX5,LINC01781,FCRL1,SERPINA9,BLK,HLA-DQA2,IGKV3D-20,HLA-DOB,LINC02397,LINC01857,TMSB4XP1"
"tabulasapiens_top20","Pancreas","pancreatic ductal cell","SLC4A4,CFTR,ANXA4,ATP1B1,AMBP,TACSTD2,CITED4,FXYD2,CLU,SOD3,CCND1,CLDN10,SERPINA5,KRT8,ANXA3,EPCAM,PMEPA1,ELF3,C12orf75,SLC3A1"
"tabulasapiens_top20","Pancreas","plasma cell","MZB1,TNFRSF17,CD79A,IGLL5,FCRL5,SLAMF7,CCR10,POU2AF1,JSRP1,CD27,ANKRD36BP2,IGLV6-57,MEI1,TNFRSF18,CD38,CPNE5,LINC02362,IRF4,AC012236.1,PNOC"
"tabulasapiens_top20","Pancreas","pancreatic beta cell","IAPP,PCSK1N,CHGA,SCG3,SLC30A8,CHGB,PTPRN,SHISAL2B,G6PC2,ABCC8,PPP1R1A,GAD2,SCG2,ASB9,DLK1,UCHL1,MAFA,PAX6,ADCYAP1,PCSK1"
"tabulasapiens_top20","Pancreas","mast cell","TPSAB1,TPSB2,CTSG,CPA3,RHEX,HPGDS,TPSD1,KIT,MS4A2,ADCYAP1,AL157895.1,CMA1,HDC,SIGLEC6,RGS13,CALB2,SIGLEC17P,KRT1,GATA1,NTM"
"tabulasapiens_top20","Pancreas","pancreatic pp cell","PPY,CHGB,SCG2,ABCC8,SCG3,STMN2,ARX,PCSK2,PAX6,NEUROD1,NKX2-2,SEMA3E,GAD2,GPC5-AS1,CALB1,NSG2,SERTM1,SLITRK6,AC016885.2,ISL1"
"tabulasapiens_top20","Pancreas","pancreatic alpha cell","PCSK1N,CHGA,CRYBA2,CHGB,SCG2,SLC30A8,PCSK2,SCG3,NEUROD1,SMIM24,F10,KCNK16,PAX6,ABCC8,PTPRN,RGS4,IRX2,CRH,VGF,ISL1"
"tabulasapiens_top20","Pancreas","pancreatic delta cell","LY6H,GAST,AVPR1B,ECEL1,CRYGD,NPY,ERICH3,GPC5-AS1,TMPRSS6,SYT5,GABRG2,GHRH,CBLN4,SLITRK6,PIPOX,CNIH2,NSG1,INA,PRG4,CHD5"
"tabulasapiens_top30","Pancreas","pancreatic acinar cell","CELA2B,PNLIPRP2,AMY2B,KLK1,PRSS3,AMY2A,CELA2A,PDIA2,PNLIPRP1,SYCN,CTRL,PNLIP,SERPINI2,CTRC,ALB,CPA2,GATM,CEL,AQP8,CPB1,SPINK1,ANPEP,ERP27,LGALS2,GP2,CPA1,PLA2G1B,GSTA2,CTRB1,CELA3B"
"tabulasapiens_top30","Pancreas","t cell","IL7R,CCL5,CD2,CD3D,CD3E,CD3G,KLRD1,CCL4,CD8A,TRAC,TRBC2,CD8B,CXCR4,GZMA,CD7,HCST,IKZF1,KLRC1,PTPRC,CYTIP,CD48,BCL11B,CD52,IKZF3,CD69,LINC01871,SOCS1,EMB,CTSW,CD96"
"tabulasapiens_top30","Pancreas","endothelial cell","SPARCL1,PLVAP,IFI27,FABP5,SOX18,ID1,VWF,CLEC14A,IGFBP4,FLT1,RAMP2,PECAM1,ID3,EPAS1,A2M,SPARC,ADGRL4,TGFBR2,CLDN5,CD36,ENG,SLC9A3R2,GNG11,GIMAP7,TIMP3,CYYR1,CD34,RAMP3,SLCO2A1,LIFR"
"tabulasapiens_top30","Pancreas","myeloid cell","TYROBP,LYZ,CD163,S100A9,AIF1,S100A4,CYBB,S100A8,MAFB,FCER1G,LAPTM5,CTSS,CD14,LCP1,MNDA,LST1,VCAN,ZEB2,MS4A7,ITGB2,C1orf162,COTL1,C3AR1,C5AR1,MRC1,MS4A6A,SPI1,CTSB,PTPRC,SRGN"
"tabulasapiens_top30","Pancreas","pancreatic stellate cell","DCN,TAGLN,STEAP4,MGP,TPM2,C7,IGFBP5,MFGE8,MYL9,PDGFRB,C1R,GPX3,RGS5,TIMP3,ACTA2,C11orf96,COL6A2,MAP1B,ADAMTS1,CALD1,C1S,SERPINF1,FBLN1,IGFBP6,ADH1B,BGN,COL3A1,COL1A2,EDNRB,COL6A3"
"tabulasapiens_top30","Pancreas","nk cell","GNLY,GZMB,FGFBP2,CD247,KLRF1,GZMH,TRDC,NCR3,SH2D1B,NCR1,GZMM,CST7,PRF1,LINC00861,TBX21,TMIGD2,SAMD3,PTGDR,PYHIN1,GZMA,CTSW,CLIC3,IL2RB,KLRD1,DTHD1,TXK,CD7,KLRB1,TRGC1,NKG7"
"tabulasapiens_top30","Pancreas","fibroblast","LAMA2,PDGFRA,FGF7,ABCA9,POM121L9P,ABCA8,ABCA6,AC080038.1,COL1A2,SVEP1,EMILIN1,ZFHX4,COL12A1,SCN7A,COL6A3,ADAM33,NAV3,SFRP2,CLMP,PDGFRB,THBS2,SLIT2,DCLK1,NR2F1,AC037198.1,ADH1B,CD248,COL3A1,FBN1,FBLN2"
"tabulasapiens_top30","Pancreas","b cell","VPREB3,MS4A1,CD79A,AL139020.1,BANK1,FCRLA,CD19,TNFRSF13C,POU2AF1,PAX5,LINC01781,FCRL1,SERPINA9,BLK,HLA-DQA2,IGKV3D-20,HLA-DOB,LINC02397,LINC01857,TMSB4XP1,FAM129C,TNFRSF13B,CR2,FCRL2,AC090602.1,IGKV1D-39,RPS27P21,FAM30A,TMSB4XP8,AL603825.1"
"tabulasapiens_top30","Pancreas","pancreatic ductal cell","SLC4A4,CFTR,ANXA4,ATP1B1,AMBP,TACSTD2,CITED4,FXYD2,CLU,SOD3,CCND1,CLDN10,SERPINA5,KRT8,ANXA3,EPCAM,PMEPA1,ELF3,C12orf75,SLC3A1,SFRP5,DCDC2,ATP1A1,KRT18,ALKAL2,SPP1,SCTR,TNFRSF12A,ID4,KRT19"
"tabulasapiens_top30","Pancreas","plasma cell","MZB1,TNFRSF17,CD79A,IGLL5,FCRL5,SLAMF7,CCR10,POU2AF1,JSRP1,CD27,ANKRD36BP2,IGLV6-57,MEI1,TNFRSF18,CD38,CPNE5,LINC02362,IRF4,AC012236.1,PNOC,NUGGC,HLA-DOB,LAX1,IGLV3-1,AMPD1,ZBP1,FER1L4,WNT10A,FCRL2,GPR15"
"tabulasapiens_top30","Pancreas","pancreatic beta cell","IAPP,PCSK1N,CHGA,SCG3,SLC30A8,CHGB,PTPRN,SHISAL2B,G6PC2,ABCC8,PPP1R1A,GAD2,SCG2,ASB9,DLK1,UCHL1,MAFA,PAX6,ADCYAP1,PCSK1,NEUROD1,STMN2,PCSK2,C1QL1,MIR7-3HG,NKX2-2,KCNK16,PLCXD3,CACNA1A,SYT7"
"tabulasapiens_top30","Pancreas","mast cell","TPSAB1,TPSB2,CTSG,CPA3,RHEX,HPGDS,TPSD1,KIT,MS4A2,ADCYAP1,AL157895.1,CMA1,HDC,SIGLEC6,RGS13,CALB2,SIGLEC17P,KRT1,GATA1,NTM,AL731557.1,MIR202HG,AP003064.2,AL662860.1,SLC18A2,ERVFRD-1,CDK15,MPIG6B,GCSAML,AC120498.2"
"tabulasapiens_top30","Pancreas","pancreatic pp cell","PPY,CHGB,SCG2,ABCC8,SCG3,STMN2,ARX,PCSK2,PAX6,NEUROD1,NKX2-2,SEMA3E,GAD2,GPC5-AS1,CALB1,NSG2,SERTM1,SLITRK6,AC016885.2,ISL1,PTPRN,MT-TE,PCSK1N,SNAP25,GRIA2,SNTG1,KCNH6,SLC30A8,MTCO2P2,MTATP8P2"
"tabulasapiens_top30","Pancreas","pancreatic alpha cell","PCSK1N,CHGA,CRYBA2,CHGB,SCG2,SLC30A8,PCSK2,SCG3,NEUROD1,SMIM24,F10,KCNK16,PAX6,ABCC8,PTPRN,RGS4,IRX2,CRH,VGF,ISL1,PAPPA2,STMN2,CALY,ARX,NRXN1,GAD2,HEPACAM2,VWA5B2,C5orf38,GRIA3"
"tabulasapiens_top30","Pancreas","pancreatic delta cell","LY6H,GAST,AVPR1B,ECEL1,CRYGD,NPY,ERICH3,GPC5-AS1,TMPRSS6,SYT5,GABRG2,GHRH,CBLN4,SLITRK6,PIPOX,CNIH2,NSG1,INA,PRG4,CHD5,CDK5R2,LRRC10B,SYT4,C22orf42,LINC01574,HAP1,PPFIA2,AC010980.1,RFX6,CPLX2"
"tabulasapiens_top10","Prostate","basal cell of prostate epithelium","KRT17,KRT5,KRT19,TACSTD2,CLDN1,MIR205HG,EGR1,ATF3,S100A14,CLDN4"
"tabulasapiens_top10","Prostate","epithelial cell","AKR1B1,PRPS2,PATE4,FDX1,GSTM3,PIP,CD24,PGC,CDO1,SEMG2"
"tabulasapiens_top10","Prostate","fibroblast","DCN,APOD,FBLN1,PTGDS,PTN,IGFBP5,NR2F1,C1R,C1S,PDGFRA"
"tabulasapiens_top10","Prostate","hillock-club cell of prostate epithelium","TRIM31,CP,ADGRF1,CXCL17,CLCA4,MUC4,UPK1A,TMPRSS4,AGR3,DUOXA2"
"tabulasapiens_top10","Prostate","macrophage","C1QB,C1QA,HLA-DRA,C1QC,HLA-DPA1,HLA-DPB1,TYROBP,APOE,CD163,RGS1"
"tabulasapiens_top10","Prostate","nkt cell","CCL3,GNLY,GZMA,GZMK,NKG7,KLRF1,CST7,EOMES,KRT81,TRDC"
"tabulasapiens_top10","Prostate","erythroid progenitor","ALAS2,CA1,HBM,AHSP,HBQ1,TRIM58,SLC4A1,GYPB,HEMGN,EPB42"
"tabulasapiens_top10","Prostate","cd8-positive, alpha-beta t cell","CXCR4,CCL5,CD69,CCL4,CD2,CYTIP,PTPRC,CD3D,IL7R,TRBC2"
"tabulasapiens_top10","Prostate","cd8b-positive nk t cell","GNLY,KLRD1,KLRC2,TRBC1,TRDC,CD160,DTHD1,IL7R,CCL5,CD7"
"tabulasapiens_top10","Prostate","luminal cell of prostate epithelium","ACPP,KLK3,MSMB,KLK2,NEFH,NKX3-1,RDH11,CPE,FOLH1,AZGP1"
"tabulasapiens_top10","Prostate","endothelial cell","SPARCL1,VWF,PECAM1,CAVIN2,FLT1,KLF2,PLVAP,EGFL7,LIFR,CLEC14A"
"tabulasapiens_top10","Prostate","smooth muscle cell","RGS5,TAGLN,C11orf96,IGFBP7,SPARCL1,TPM2,IGFBP5,MYL9,MYH11,ACTA2"
"tabulasapiens_top10","Prostate","stromal cell","AJ009632.2,CDH19,FP671120.5,ATP13A5,MTRNR2L10,AP000763.2,MTRNR2L8,MTCO1P2,AL512646.1,MTND4P12"
"tabulasapiens_top10","Prostate","monocyte","RF00017-30,RF00012-18,AL512646.1,TMEM52B,FP671120.5,HSPA7,FCGR2C,FTH1P20,AC009226.1,CD68"
"tabulasapiens_top10","Prostate","t cell","IL7R,KLRD1,CD2,CD3E,IKZF1,CCL5,CD3G,CD3D,CD8A,PTPRC"
"tabulasapiens_top10","Prostate","club cell of prostate epithelium","SCGB3A1,PSCA,ELF3,RARRES1,OLFM4,PIGR,AZGP1,GNPTAB,MEIS2,AQP3"
"tabulasapiens_top10","Prostate","neutrophil","S100A12,FCGR3B,PROK2,CMTM2,CR1,CXCR1,MCEMP1,ALPL,MTND5P32,FPR2"
"tabulasapiens_top10","Prostate","myeloid cell","HLA-DPB1,C1QB,C1QA,HLA-DRA,C1QC,HLA-DPA1,TYROBP,HLA-DRB1,MS4A6A,CD163"
"tabulasapiens_top10","Prostate","hillock cell of prostate epithelium","KRT13,DHRS2,AKR1C2,TMPRSS4,CLCA4,HPGD,SLC14A1,TRIM31,C10orf99,MUC4"
"tabulasapiens_top10","Prostate","sperm","CRISP3,GSTM1,ZNF883,AP002381.2,C15orf48,UBAC2-AS1,LINC01085,LINC02387,TMEM253,CLDN2"
"tabulasapiens_top10","Prostate","mast cell","TPSB2,TPSAB1,CPA3,MS4A2,AL157895.1,CDK15,SIGLEC6,TPSD1,TLDC2,HDC"
"tabulasapiens_top20","Prostate","basal cell of prostate epithelium","KRT17,KRT5,KRT19,TACSTD2,CLDN1,MIR205HG,EGR1,ATF3,S100A14,CLDN4,HCAR3,F3,HCAR2,S100A2,ANXA1,PERP,FOSB,TIMP3,DEFB1,KLF6"
"tabulasapiens_top20","Prostate","epithelial cell","AKR1B1,PRPS2,PATE4,FDX1,GSTM3,PIP,CD24,PGC,CDO1,SEMG2,CA2,SEMG1,CYP4F8,FAM3D,SERPINA5,DUSP4,FADS2,MT1E,DNAJC15,SLC26A3"
"tabulasapiens_top20","Prostate","fibroblast","DCN,APOD,FBLN1,PTGDS,PTN,IGFBP5,NR2F1,C1R,C1S,PDGFRA,PRRX1,RORB,LTBP4,GPM6B,RARRES2,SFRP1,SFRP2,SSPN,COL6A1,OSR2"
"tabulasapiens_top20","Prostate","hillock-club cell of prostate epithelium","TRIM31,CP,ADGRF1,CXCL17,CLCA4,MUC4,UPK1A,TMPRSS4,AGR3,DUOXA2,CAPNS2,PLA2G10,HPGD,SRPX2,VSIG2,TNFRSF21,S100P,LGALS4,RHBDL2,CAPN13"
"tabulasapiens_top20","Prostate","macrophage","C1QB,C1QA,HLA-DRA,C1QC,HLA-DPA1,HLA-DPB1,TYROBP,APOE,CD163,RGS1,MS4A6A,AIF1,MS4A7,LYZ,FCER1G,VSIG4,APOC1,GPR34,LAPTM5,RNASE6"
"tabulasapiens_top20","Prostate","nkt cell","CCL3,GNLY,GZMA,GZMK,NKG7,KLRF1,CST7,EOMES,KRT81,TRDC,CCR9,TMIGD2,SAMD3,KLRD1,SH2D1A,KLRC1,PRF1,TXK,SH2D1B,CD7"
"tabulasapiens_top20","Prostate","erythroid progenitor","ALAS2,CA1,HBM,AHSP,HBQ1,TRIM58,SLC4A1,GYPB,HEMGN,EPB42,MYL4,IFIT1B,HBD,GYPA,AC092490.1,KLF1,TSPO2,ABCC13,SPTA1,SNCA"
"tabulasapiens_top20","Prostate","cd8-positive, alpha-beta t cell","CXCR4,CCL5,CD69,CCL4,CD2,CYTIP,PTPRC,CD3D,IL7R,TRBC2,CD48,CD3E,CD8A,CD3G,IL32,CD52,TRAC,SRGN,DNAJB1,RGS1"
"tabulasapiens_top20","Prostate","cd8b-positive nk t cell","GNLY,KLRD1,KLRC2,TRBC1,TRDC,CD160,DTHD1,IL7R,CCL5,CD7,CD69,TRGC2,AREG,CD96,CD52,PTPRC,GZMB,CD3E,CYTIP,SAMSN1"
"tabulasapiens_top20","Prostate","luminal cell of prostate epithelium","ACPP,KLK3,MSMB,KLK2,NEFH,NKX3-1,RDH11,CPE,FOLH1,AZGP1,STEAP2,SLC45A3,KLK4,PMEPA1,LINC01297,KIAA1324,PLPP1,NPY,TMPRSS2,TSPAN8"
"tabulasapiens_top20","Prostate","endothelial cell","SPARCL1,VWF,PECAM1,CAVIN2,FLT1,KLF2,PLVAP,EGFL7,LIFR,CLEC14A,EPAS1,GSN,IFI27,AQP1,ADGRL4,A2M,PTPRB,IGFBP4,CAV1,HSPG2"
"tabulasapiens_top20","Prostate","smooth muscle cell","RGS5,TAGLN,C11orf96,IGFBP7,SPARCL1,TPM2,IGFBP5,MYL9,MYH11,ACTA2,MGP,MFGE8,PPP1R14A,CSRP2,LMOD1,CAV1,PLN,FHL1,BGN,MYLK"
"tabulasapiens_top20","Prostate","stromal cell","AJ009632.2,CDH19,FP671120.5,ATP13A5,MTRNR2L10,AP000763.2,MTRNR2L8,MTCO1P2,AL512646.1,MTND4P12,MTCO2P2,MTND5P11,CSMD3,AC119674.1,ABCC13,ADGRD1,MTCO1P40,MTRNR2L12,MTCO2P12,HSP90AA2P"
"tabulasapiens_top20","Prostate","monocyte","RF00017-30,RF00012-18,AL512646.1,TMEM52B,FP671120.5,HSPA7,FCGR2C,FTH1P20,AC009226.1,CD68,SOD2-1,MTRNR2L8,FTLP2,TMSB4XP8,RNA5SP151,MTCO2P2,FTLP3,FCGR3B,SLC8A1-AS1,MTRNR2L12"
"tabulasapiens_top20","Prostate","t cell","IL7R,KLRD1,CD2,CD3E,IKZF1,CCL5,CD3G,CD3D,CD8A,PTPRC,ETS1,RESF1,BCL11B,S100A4,CXCR4,CYTIP,CD48,CD69,IL32,CD96"
"tabulasapiens_top20","Prostate","club cell of prostate epithelium","SCGB3A1,PSCA,ELF3,RARRES1,OLFM4,PIGR,AZGP1,GNPTAB,MEIS2,AQP3,TGM4,KLK3,ZKSCAN1,TMEM63A,MSMB,SLC44A4,STEAP2,HPGD,SCUBE2,TMC5"
"tabulasapiens_top20","Prostate","neutrophil","S100A12,FCGR3B,PROK2,CMTM2,CR1,CXCR1,MCEMP1,ALPL,MTND5P32,FPR2,ORM1,TNFRSF10C,ARG1,ADGRG3,ZDHHC19,TNFAIP6,LILRA5,NFE2,OLAH,FOLR3"
"tabulasapiens_top20","Prostate","myeloid cell","HLA-DPB1,C1QB,C1QA,HLA-DRA,C1QC,HLA-DPA1,TYROBP,HLA-DRB1,MS4A6A,CD163,ALOX5AP,KCTD12,FCER1G,AIF1,IGSF6,RGS1,LAPTM5,HCLS1,CTSS,IL18"
"tabulasapiens_top20","Prostate","hillock cell of prostate epithelium","KRT13,DHRS2,AKR1C2,TMPRSS4,CLCA4,HPGD,SLC14A1,TRIM31,C10orf99,MUC4,ANKRD20A11P,LINC00511,GABRE,SRPX2,TMPRSS11E,CLCA2,DUOX2,LYPD3,SHH,FER1L4"
"tabulasapiens_top20","Prostate","sperm","CRISP3,GSTM1,ZNF883,AP002381.2,C15orf48,UBAC2-AS1,LINC01085,LINC02387,TMEM253,CLDN2,CA3-AS1,SULT2A1,AC139749.1,ANXA13,CRABP2,AL355877.1,ANXA9,AC074212.1,ZNF792,NPFFR2"
"tabulasapiens_top20","Prostate","mast cell","TPSB2,TPSAB1,CPA3,MS4A2,AL157895.1,CDK15,SIGLEC6,TPSD1,TLDC2,HDC,RAB44,AMHR2,CALB2,LINC01340,NTRK1,SIGLEC17P,HPGDS,RGS13,CATSPER1,SLC8A3"
"tabulasapiens_top30","Prostate","basal cell of prostate epithelium","KRT17,KRT5,KRT19,TACSTD2,CLDN1,MIR205HG,EGR1,ATF3,S100A14,CLDN4,HCAR3,F3,HCAR2,S100A2,ANXA1,PERP,FOSB,TIMP3,DEFB1,KLF6,SOCS3,ERRFI1,SNCG,RAP2B,CXCL2,TNS4,IER3,BTG2,S100A6,CCN1"
"tabulasapiens_top30","Prostate","epithelial cell","AKR1B1,PRPS2,PATE4,FDX1,GSTM3,PIP,CD24,PGC,CDO1,SEMG2,CA2,SEMG1,CYP4F8,FAM3D,SERPINA5,DUSP4,FADS2,MT1E,DNAJC15,SLC26A3,PTGS2,TWF1,PDK4,ENPP3,ECHS1,LAPTM4A,RBBP7,ABCG2,MFSD2A,AQP2"
"tabulasapiens_top30","Prostate","fibroblast","DCN,APOD,FBLN1,PTGDS,PTN,IGFBP5,NR2F1,C1R,C1S,PDGFRA,PRRX1,RORB,LTBP4,GPM6B,RARRES2,SFRP1,SFRP2,SSPN,COL6A1,OSR2,LUM,COL6A2,AEBP1,MEG3,MMP2,COL1A2,PMP22,TPM2,DIO2,IGF1"
