"simuround","noise","celltype","gene","annotation"
5,0.25,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,SCAND2P,LOC105376204,MIR145,OPRK1","Mammary epithelial cells"
5,0.25,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,SAGE3P","Lymphatic endothelial cells"
5,0.25,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC107985853,CXXC1P1,MYG1,FBXW7","Macrophages"
5,0.25,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC107985876","Mast cells"
5,0.25,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,CYP4F45P,LINC02802","Myoepithelial cells"
5,0.25,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,SPINT2,LOC105369329","Pericytes"
5,0.25,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RN7SL357P,GAPDHP73,LOC100419639","Smooth muscle cells"
5,0.25,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,URAHP,FAM227A,TRIM49C","T cells"
5,0.25,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC107984380,LOC123497926,LINC02605","Endothelial cells"
5,0.5,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,KMT5AP2,MIR4497,LYPLAL1-AS1,LOC284379,BORCS8","Adipocytes"
5,0.5,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,RPL31P55,MYO9B","B cells"
5,0.5,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,ZNF395,AGPAT5,OLIG3,LOC105373430,SNORA67,LOC105375815,SNORA13,FLJ40288,LOC112935949,LINC01975,FGF16,BMPR2,LOC112939933,GOLGA2P9","Fibroblasts"
5,0.5,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC285804,MIR421,SLC10A5P1,LOC105375414,LOC105369781,ZNF470,GPC1-AS1,MIR4679-2","Luminal breast epithelial cells"
5,0.5,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC112935979,MAPK8IP1P1,FOXA2","Lymphatic endothelial cells"
5,0.5,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,RNA5SP470,RN7SL87P,THPO,TRP-TGG3-5,MIR4520-1,DUX4L28,LOC105375034,LOC105371223,RGS4","Macrophages"
5,0.5,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,RPL5P9,MTND4LP10,ACTBP15","Mast cells"
5,0.5,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,LINC02559,SNX27,UPK1A,ZNF20","Myoepithelial cells"
5,0.5,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,MIR7160,RNU6-1320P,LOC105378387,LOC121048723","Smooth muscle cells"
5,0.5,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,TRQ-CTG12-1,PRICKLE4,RNU1-91P,MRPL48,DEPDC1P2,RPL3P2,MAFK","Smooth muscle cells"
5,0.5,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,SF3B2,LOC105379127,LOC105371840,NLRP5,RNA5SP407,ADCK5","T cells"
5,0.5,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,RHBG,CACNG2,SYNE1-AS1,HCN3,LOC105379052,MSD,PPP1R14D","Endothelial cells"
5,0.75,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC102724770,TSFM,PHC1,RNU6-419P,RNU6-599P,LOC116186904,LRRC61","Adipocytes"
5,0.75,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,XCE,TJAP1,TRQ-CTG2-1","B cells"
5,0.75,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,BRD9P1,LOC108228197,ZFP90,LOC101927446,STMN1P1,H2BC8,H1-7,NUP210P3,RPL21P88,LOC105373475,LOC112935963,LOC107985917,LOC111365186,LOC100420966,LOC123620082,RPL21P59,TNFRSF10C,AK7,TRA-AGC18-1,KBTBD7,LOC111365195","Fibroblasts"
5,0.75,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,ELL2P2,LOC105374371,LOC105373262,CCL22,TRP-TGG3-1,RNU2-65P,ERVK-13,LOC105373771,HOMER3-AS1,TDH,PDCL,CTXN1","Breast Epithelial cells"
5,0.75,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,RNA5SP392,LOC121331309,MIA-RAB4B,CMKLR2-AS,UQCRFS1P2","Lymphatic Endothelial cells"
5,0.75,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC101927468,LINC02284,LOC101929048,MYOCOS,LOC100418957,LOC105378562,SLC35G1,CCT7P1,IGHV3-23,LOC121587564,DNAAF11,LINC02135,FAM83B,LOC105375985","Macrophages"
5,0.75,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC113875028,ERVK-15,LOC105378009,LOC111674477","Mast cells"
5,0.75,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,MYL10,LOC105376015,NLRP5,MFF,SIGLEC25P,LINC02667","Epithelial cells and Smooth Muscle cells"
5,0.75,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,NF2,BNIP3P35,MIR370,LINC00113,LOC105373018,TRMT112P3","Smooth Muscle cells"
5,0.75,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RGS16,ASAH1,ADAM15,KRT27,GOLGA2P1,OR8A2P,LOC105370178,IQCM,LOC101060159,NFATC2,LOC122094906","Smooth Muscle cells"
5,0.75,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC111365143,OAP,LINC01449,RAD51-AS1,PPIAP91,KRT8P50,LINC01812,INPPL1,LOC105374595","T cells"
5,0.75,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,PARG,LOC121832823,EMC9,LOC111413017,BPY2,UBXN7,LOC105374399,LOC105379107,UBE2V2P1,TPGS2","Endothelial cells"
5,1,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LINC02059,LOC100128494,LOC112841604,CAPZA1P2,RN7SL330P,ABHD17AP4,LOC105375427,LOC107985509,HPLH1,PROZ","Adipocytes"
5,1,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LOC107987379,LOC107985996,NPAP1P2,RNU6-1155P,IRS3P","B Cells"
5,1,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,MTND1P27,TRS-GCT3-1,LOC107984611,SPRING1P1,LOC105375578,GAPDHP21,RPL13AP6,LOC124310594,LOC110120969,LOC111718491,LOC121740707,LOC107986064,ATP6V1FNB,GPRC5D-AS1,UBL4A,FRA11F,LOC105370188,ENPP2,LINC01122,SUCLA2P1,LOC105379192,LGALSL-DT,UTP18,INO80E,CAND1.11,C1QL1P1,GID4,CRYZL1","Fibroblasts"
5,1,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,EPS15-AS1,RPL12P17,LOC112268311,RPS29P14,LOC107985679,FBXL17,LINC00467,LOC107984347,LOC100192388,FAM168A,MRPL35P4,SLC25A42,ZNF90P3,LOC105377967,LOC105375902,LOC105377364,LOC123256947","Mammary Epithelial cells"
5,1,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC112267850,OMA1,GAR1-DT,LOC105373941,ISCA1P3,LOC105378460,EEF1A1P21","Lymphatic Endothelial Cells"
5,1,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,BRS3,SLC25A6P2,VDAC2P1,NUDT19P6,RNU6-474P,RNA18S5,UAQTL4,AARS1P1,DDIT4,LOC105370604,WAC,BTF3L4P1,LOC107325942,OR1N1,LOC123620084,MIR432,LOC107984546,LHX4,VN1R55P","Macrophages"
5,1,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC121627817,LOC121725030,RNA5SP536,IMP3,LOC112577559,LOC122056855","Mast Cells"
5,1,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,TRG-TCC4-1,HNF4GP1,LOC115945164,LINC02083,CH17-125A10.2,MTCO1P28,LOC105372901,ZACN","Myoepithelial Cells"
5,1,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,RNU6-1176P,SLURP1,LOC121331318,OVCH1,ZNF492,LOC110121367,TRIM32,VN1R38P","Pericytes"
5,1,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RNH1,KRT8,LOC100419045,LOC113174986,LCAL1,DOCK11,DMD-AS3,OPA8,LOC101409262,SEPTIN7P8,LOC107832855,LOC110120851,CHIC1,ARHGEF15,LOC105374445","Smooth Muscle Cells"
5,1,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC105372668,ABI1,RNU6-607P,OFC1,LOC105371481,SNORA80D,IGKV2OR2-8,LOC102724046,MTCL1,ARL4D,SNORA63E,LINC02253,LOC105370841","T Cells"
5,1,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,IMPDH1P9,ZP2,MAPT,LOC107986306,MARCHF1,WEE2-AS1,SNORD107,GOSR2-DT,LOC121740687,RPL17P23,OR51V1,LOC122149487,USP9YP21,C9orf40","Endothelial Cells"
