"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement","gpt4mar23_annotation","gpt4mar23_CLname","gpt4mar23_CLID","gpt4mar23_broadtype","gpt4mar23_agreement","gpt3.5aug3_annotation","gpt3.5aug3_CLname","gpt3.5aug3_CLID","gpt3.5aug3_broadtype","gpt3.5aug3_agreement","CellMarker2.0_annotation","CellMarker2.0_CLname","CellMarker2.0_CLID","CellMarker2.0_broadtype","CellMarker2.0_agreement","SingleR_annotation","SingleR_CLname","SingleR_CLID","SingleR_broadtype","SingleR_agreement","ScType_annotation","ScType_CLname","ScType_CLID","ScType_broadtype","ScType_agreement"
"literature","Lung","G0S2, ACSL1, ADIPOQ, EBF1, PLIN2, PLIN1, GHR, LPIN1, FOXO1, PPARG","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocyte","fat cell","CL:0000136","fat cell",1,"Neutrophil","neutrophil","CL:0000775","granulocyte",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","AGER, PDPN, HOPX, EMP2, CAV1","Alveolar Type I","type I pneumocyte","CL:0002062","epithelial cell","Alveolar Type 1 cells","type I pneumocyte","CL:0002062","epithelial cell",1,"Alveolar type 1 cells (AT1)","type I pneumocyte","CL:0002062","epithelial cell",1,"Mesothelial Cell","mesothelial cell","CL:0000077","epithelial cell",0.5,"Alveolar cell",NA,NA,"lung cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","SFTPB, SFTPC, LAMP3, SLC34A2, NKX2-1","Alveolar Type II","type II pneumocyte","CL:0002063","epithelial cell","Alveolar Type 2 cells","type II pneumocyte","CL:0002063","epithelial cell",1,"Alveolar type 2 cells (AT2)","type II pneumocyte","CL:0002063","epithelial cell",1,"Type II Pneumocyte","type II pneumocyte","CL:0002063","epithelial cell",1,"Alveolar type 2-like cell","type II pneumocyte","CL:0002063","epithelial cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","CR2, CD24, FAS, CXCR3, CD1c","B cell_memory","memory B cell","CL:0000787","b cell","Dendritic cells","dendritic cell","CL:0000451","dendritic cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"B Cell","B cell","CL:0000236","b cell",0.5,"Memory CD8+ T cell","CD8-positive, alpha-beta memory T cell","CL:0000909","t/nk cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","FOXJ1, TUBA1A, CDHR3, HYDIN, FAM92B, DNAH5, DNAI2, DNAI1","Ciliated Epithelial","ciliated epithelial cell","CL:0000067","epithelial cell","Ciliated cells","ciliated cell","CL:0000064","ciliated cell",0,"Ciliated cells","ciliated cell","CL:0000064","ciliated cell",0,"Ciliated Cell","ciliated cell","CL:0000064","ciliated cell",0,"Epithelial cell","epithelial cell","CL:0000066","epithelial cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","BPIFA1, SCGB1A1, SCGB3A1, SCGB3A2, MUC5B, SLPI, CYP2F2","Club Epithelial","club cell","CL:0000158","epithelial cell","Goblet cells","goblet cell","CL:0000160","epithelial cell",0.5,"Club cells (previously known as Clara cells)","club cell","CL:0000158","epithelial cell",1,"Club Cell","club cell","CL:0000158","epithelial cell",1,"Secretory club cell","club cell","CL:0000158","epithelial cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,"Stromal cell","stromal cell","CL:0000499","stromal cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic Endothelial Cell","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cell","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","CD163, MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Alveolar macrophages","alveolar macrophage","CL:0000583","macrophage/monocyte",0.5,"Macrophage","macrophage","CL:0000235","macrophage/monocyte",1,"CD45+ immune cell",NA,NA,"immune cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1,"Mast cells","mast cell","CL:0000097","granulocyte",1,"Mast Cell","mast cell","CL:0000097","granulocyte",1,"Langerhans cell","Langerhans cell","CL:0000453","dendritic cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","PDGFRB, ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1,"Pericytes","pericyte","CL:0000669","pericyte",1,"Smooth Muscle Cell","smooth muscle cell","CL:0000192","muscle cell",0,"Mesenchymal stromal cell","stromal cell","CL:0000499","stromal cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","TAGLN, ACTA2, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle cells","smooth muscle cell","CL:0000192","muscle cell",1,"Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1,"Myofibroblast","myofibroblast cell","CL:0000186","myofibroblast cell",0,"Muscularis cell",NA,NA,"mucosal cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",1,"T Cell","T cell","CL:0000084","t/nk cell",1,"CD45+ immune cell",NA,NA,"immune cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Lung","VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial Cell","endothelial cell","CL:0000115","endothelial cell",0.5,"Vascular cell",NA,NA,"blood vessel cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","G0S2, ACSL1, ADIPOQ, EBF1, PLIN2, PLIN1, GHR, LPIN1, FOXO1, PPARG","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocyte","fat cell","CL:0000136","fat cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","CR2, CD24, FAS, CXCR3, CD1c","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"B Cell","B cell","CL:0000236","b cell",0.5,"Cancer stem cell",NA,NA,"malignant cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","COL6A1, PDPN, FBLN1, DCN, COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","KLK3, KRT8, KLK2, MSMB, ACPP, KLK1, KLK4","Luminal Epithelial",NA,NA,"epithelial cell","Luminal epithelial cells",NA,NA,"epithelial cell",0.5,"Luminal epithelial cells",NA,NA,"epithelial cell",0.5,"Luminal Prostate Epithelial Cell","luminal cell of prostate epithelium","CL:0002340","epithelial cell",0.5,"Luminal epithelial cell",NA,NA,"epithelial cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic Endothelial Cell","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","CD68, MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Macrophage","macrophage","CL:0000235","macrophage/monocyte",1,"M2 macrophage","alternatively activated macrophage","CL:0000890","macrophage/monocyte",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1,"Mast cells","mast cell","CL:0000097","granulocyte",1,"Mast Cell","mast cell","CL:0000097","granulocyte",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1,"Pericytes","pericyte","CL:0000669","pericyte",1,"Smooth Muscle Cell","smooth muscle cell","CL:0000192","muscle cell",0,"Smooth muscle cell","smooth muscle cell","CL:0000192","muscle cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","TPM2, MYL9, MYH11, TAGLN, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1,"Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1,"Secretory Prostate Epithelial Cell",NA,NA,"secretory cell",0,"Smooth muscle cell","smooth muscle cell","CL:0000192","muscle cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",1,"T Cell","T cell","CL:0000084","t/nk cell",1,"T cell","T cell","CL:0000084","t/nk cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Prostate","CD200, PECAM1, VWF, PTPRB, EGFL7, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial Cell","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cell","endothelial cell","CL:0000115","endothelial cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","G0S2, ACSL1, ADIPOQ, EBF1, PLIN2, PLIN1, GHR, LPIN1, FOXO1, PPARG","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocyte","fat cell","CL:0000136","fat cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","CR2, CD24, FAS, CXCR3, CD1c","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"B Cell","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","COL6A1, PDGFRA, S100A4, COL6A2, COL6A3, VIM, DCN, COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Satellite Cell","skeletal muscle satellite cell","CL:0000594","progenitor cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","MRC1, CD163, ITGAM, MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"T Cell","T cell","CL:0000084","t/nk cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","TPSAB1, TPSAB1, KIT, TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1,"Mast cells","mast cell","CL:0000097","granulocyte",1,"Chondrocyte","chondrocyte","CL:0000138","stromal cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","MYL2, MYOG, ACTA1, MYH7, MYH3, MYL1, CAST, MYO18B, MYBPC1, MYOT, TPM2, EGF, NEB, FOXO1, CKM, MB, TCAP, MYOM3, TTN, TRIM63, TPM3, RYR1, MYOM1, MYOD1, DMD","Myocyte",NA,NA,"muscle cell","Skeletal Muscle Cells","cell of skeletal muscle","CL:0000188","muscle cell",0.5,"Myocytes (skeletal muscle cells)","cell of skeletal muscle","CL:0000188","muscle cell",0.5,"Smooth Muscle Cell","smooth muscle cell","CL:0000192","muscle cell",0.5,"Skeletal muscle cell","cell of skeletal muscle","CL:0000188","muscle cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","MYH1, MYH2, MYH4, GLUT4, MYL3","Myofiber/Myocyte","muscle cell","CL:0000187","muscle cell","Skeletal Muscle Cells","cell of skeletal muscle","CL:0000188","muscle cell",0.5,"Fast-twitch muscle fibers","fast muscle cell","CL:0000190","muscle cell",0.5,"Myoblast","myoblast","CL:0000056","progenitor cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","ALPL, CSPG4, RGS5, PDGFRB, ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1,"Pericytes","pericyte","CL:0000669","pericyte",1,"Osteocyte","osteocyte","CL:0000137","osteocyte",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","NCAM1, PAX7, CALCR, PAX3, MYF5","Satellite Cell","skeletal muscle satellite cell","CL:0000594","progenitor cell","Satellite Cells","skeletal muscle satellite cell","CL:0000594","progenitor cell",1,"Satellite cells (muscle stem cells)",NA,NA,"stem cell",0,"Endothelial Cell","endothelial cell","CL:0000115","endothelial cell",0,"Progenitor cell","progenitor cell","CL:0011026","progenitor cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","CALD1, TAGLN, ACTA2, MYH11, CNN1, NOTCH3, CACNA1C, TAGLN, ACTA2, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1,"Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1,"Myotube","myotube","CL:0002372","muscle cell",0.5,"Myoblast","myoblast","CL:0000056","progenitor cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",1,"Myofiber","muscle cell","CL:0000187","muscle cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skeletal muscle","EGFL7, PECAM1, VWF, ERAS1, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, EGLF7, CLDN5","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Pericyte","pericyte","CL:0000669","pericyte",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","G0S2, ACSL1, ADIPOQ, EBF1, PLIN2, PLIN1, GHR, LPIN1, FOXO1, PPARG","Adipocyte","fat cell","CL:0000136","fat cell","Adipocyte","fat cell","CL:0000136","fat cell",1,"Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocyte","fat cell","CL:0000136","fat cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","CR2, CD24, FAS, CXCR3, CD1c","B cell_memory","memory B cell","CL:0000787","b cell","B cell","B cell","CL:0000236","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"B Cell","B cell","CL:0000236","b cell",0.5,"Conventional dendritic cell 2(cDC2)","conventional dendritic cell","CL:0000990","dendritic cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","KRT14, POSTN, TP63, ATP2C1, KRT5, LAMA3","Basal Keratinocyte","basal cell of epidermis","CL:0002187","epithelial cell","Basal cell of epidermis","basal cell of epidermis","CL:0002187","epithelial cell",1,"Basal keratinocytes","basal cell of epidermis","CL:0002187","epithelial cell",1,"Keratinocyte","keratinocyte","CL:0000312","epithelial cell",0.5,"Epidermal posterior cell",NA,NA,"epithelial cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM, VIM, FMO1, SFRP2, COL1A2, PDGFRA, HSP47, COL4A1","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblast","fibroblast","CL:0000057","fibroblast",1,"Dermal fibroblasts",NA,NA,"fibroblast",0.5,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","ENTPD1, COL6A5, HSPB3, CRABP1, ALX4","Fibroblast (Papillary Dermis)","fibroblast of papillary layer of dermis","CL:1000302","fibroblast","Neural crest cell","neural crest cell","CL:0011012","stem cell",0,"Dermal papilla cells","hair follicle dermal papilla cell","CL:0000346","stem cell",0,"Chondrocyte","chondrocyte","CL:0000138","stromal cell",0.5,"Exausted T(Tex) cell","exhausted T cell","CL:0011025","t/nk cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cell","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic Endothelial Cell","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cell","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","MS4A4A, RBPJ, CD163, MSR1, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophage","macrophage","CL:0000235","macrophage/monocyte",1,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Macrophage","macrophage","CL:0000235","macrophage/monocyte",1,"Tumor‐associated macrophage (TAM)",NA,NA,"malignant cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","TPSAB1, FCER1A, TPSB2, KIT, CD69, TPSAB1, KIT, HDC","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cell","mast cell","CL:0000097","granulocyte",1,"Mast cells","mast cell","CL:0000097","granulocyte",1,"Mast Cell","mast cell","CL:0000097","granulocyte",1,"Skin resident T cell",NA,NA,"t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","ERBB2, ELOVL1, FLG2, LOR, SBSN, KRT10","Mature keratinocyte","keratinocyte","CL:0000312","epithelial cell","Stratified epithelial cell","stratified epithelial cell","CL:0000079","epithelial cell",0.5,"Differentiated keratinocytes (suprabasal layer)","keratinocyte","CL:0000312","epithelial cell",1,"Melanocyte","melanocyte","CL:0000148","melanocyte",0,"Spinous cell","prickle cell","CL:0000649","epithelial cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","BCL2, MITF, SOX9, KIT, PMEL, MLANA","Melanocyte","melanocyte","CL:0000148","melanocyte","Melanocyte","melanocyte","CL:0000148","melanocyte",1,"Melanocytes","melanocyte","CL:0000148","melanocyte",1,"Smooth Muscle Cell","smooth muscle cell","CL:0000192","muscle cell",0,"Hair follicle cell","hair follicle cell","CL:0002559","hair follicle cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","LAMA5, PDGFRB, MCAM, RGS5, ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4","Pericyte","pericyte","CL:0000669","pericyte","Pericyte","pericyte","CL:0000669","pericyte",1,"Pericytes","pericyte","CL:0000669","pericyte",1,"Sebocyte","sebum secreting cell","CL:0000317","secretory cell",0,"Pericyte","pericyte","CL:0000669","pericyte",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","MGST1, FADS2, PPARG, FAR2, KRT7, MC5R, KRT4, MUC1","Sebocyte","sebum secreting cell","CL:0000317","secretory cell","Sebocyte","sebum secreting cell","CL:0000317","secretory cell",1,"Sebocytes (sebaceous gland cells)","sebum secreting cell","CL:0000317","secretory cell",1,"Secretory Cell","secretory cell","CL:0000151","secretory cell",0.5,"Peridermal keratinocyte",NA,NA,"epithelial cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","SCGB2A2, PIP, SCGB1B2P, SCGB2A1, SCGB3A1, SCGB3A2, SCGB1A1","Secretory Cell","secretory cell","CL:0000151","secretory cell","Mammary epithelial cell","mammary gland epithelial cell","CL:0002327","epithelial cell",0,"Secretory cells of sweat glands","sweat secreting cell","CL:0000318","secretory cell",0.5,"Myofibroblast","myofibroblast cell","CL:0000186","myofibroblast cell",0,"Paget cell",NA,NA,"malignant cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","TAGLN, MYL9, SMTN, ACTA2, PALLD, TAGLN, ACTA2, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cell","smooth muscle cell","CL:0000192","muscle cell",1,"Smooth muscle cells (e.g., arrector pili muscles)","smooth muscle cell","CL:0000192","muscle cell",1,"Basal Keratinocyte","basal cell of epidermis","CL:0002187","epithelial cell",0,"Vascular smooth muscle cell(VSMC)","vascular associated smooth muscle cell","CL:0000359","muscle cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"literature","Skin","SBSN, KRT10, KRT1, KRT14, KRT5, KRT1","Suprabasal keratinocyte",NA,NA,"epithelial cell","Skin keratinocyte","keratinocyte","CL:0000312","epithelial cell",0.5,"Stratum corneum (outermost layer) keratinocytes",NA,NA,"epithelial cell",0.5,"T Cell","T cell","CL:0000084","t/nk cell",0,"Differentiated keratinocyte","keratinocyte","CL:0000312","epithelial cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
