originalname,Clname,CLID,type
interstitial cell (not specific to kidney),interstitial cell,CL:4030031,interstitial cell
interstitial cell of cajal,interstitial cell of Cajal,CL:0002088,interstitial cell
interstitial cell of cajal (icc),interstitial cell of Cajal,CL:0002088,interstitial cell
interstitial macrophage,NA,NA,macrophage/monocyte
intestinal goblet cell,intestine goblet cell,CL:0019031,epithelial cell
ionocyte,ionocyte,CL:0005006,epithelial cell
ionocyte cell,ionocyte,CL:0005006,epithelial cell
ips_cell,NA,NA,stem cell
isg expressing immune cell,NA,NA,immune cell
islet endocrine cell,NA,NA,secretory cell
isthmus cell,NA,NA,uterus cell
keratinocyte,keratinocyte,CL:0000312,epithelial cell
keratinocytes (basal layer),basal cell of epidermis,CL:0002187,epithelial cell
keratinocytes (granular layer),granular cell of epidermis,CL:0002189,epithelial cell
keratinocytes (spinous layer),NA,NA,epithelial cell
keratinocytes (stratum corneum),NA,NA,epithelial cell
kidney development cell,NA,NA,kidney cell
kidney progenitor cell or developing nephrons,NA,NA,progenitor cell
kidney proximal tubule cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell
kupffer cell,Kupffer cell,CL:0000091,macrophage/monocyte
l cell,type L enteroendocrine cell,CL:0002279,epithelial cell
lacrimal gland germ epithelial cell,NA,NA,epithelial cell
lake et al.science.ex3,NA,NA,neuron
lamp5+ gabaergic neuron,lamp5 GABAergic cortical interneuron,CL:4023011,neuron
langerhans cell,Langerhans cell,CL:0000453,dendritic cell
late digit condensations,NA,NA,NA
late endothelial cell,NA,NA,endothelial cell
late erythroid,NA,NA,erythroid cell
late erythroid cell,NA,NA,erythroid cell
"layer 2-3 glutamatergic neuron, intratelencephalon-projecting",L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023047,neuron
layer 4 cell,NA,NA,brain cell
"layer 5 glutamatergic neuron, extratelencephalon-projecting",L5 extratelencephalic projecting glutamatergic cortical neuron,CL:4023041,neuron
"layer 5 glutamatergic neuron, intratelencephalon-projecting",L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023049,neuron
"layer 5-6 glutamatergic neuron, near-projecting",L5/6 near-projecting glutamatergic neuron of the primary motor cortex,CL:4023043,neuron
"layer 6 car3+ glutamatergic neuron, intratelencephalon-projecting",NA,NA,neuron
"layer 6 glutamatergic neuron, corticothalamic-projecting",L6 corticothalamic-projecting glutamatergic cortical neuron,CL:4023042,neuron
"layer 6 glutamatergic neuron, intratelencephalon-projecting",L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023050,neuron
layer 6b glutamatergic neuron,L6b glutamatergic cortical neuron,CL:4023038,neuron
lee et al.cell.a,NA,NA,NA
lens cell,vertebrate lens cell,CL:0002222,epithelial cell
lens fiber cell,lens fiber cell,CL:0011004,epithelial cell
lens fibre cell,lens fiber cell,CL:0011004,epithelial cell
leydig precursor cell,NA,NA,progenitor cell
lge-lineage cell (lateral ganglionic eminence),NA,NA,brain cell
limbic system neurons,NA,NA,neuron
lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast
liver bud hepatic cell,NA,NA,liver cell
liver progenitor cell,NA,NA,progenitor cell
loop of henle cell,kidney loop of Henle epithelial cell,CL:1000909,epithelial cell
"loop of henle cell, intercalated cell",kidney loop of Henle epithelial cell,CL:1000909,epithelial cell
loop of henle thick ascending limb cell (tal),kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,epithelial cell
luminal epithelial,NA,NA,epithelial cell
luminal epithelial cell,NA,NA,epithelial cell
luminal progenitor cell,NA,NA,progenitor cell
luminal prostate epithelial cell,luminal cell of prostate epithelium,CL:0002340,epithelial cell
lung cell,NA,NA,lung cell
lung epithelial cell,epithelial cell of lung,CL:0000082,epithelial cell
lymphatic,NA,NA,immune cell
lymphatic cell,NA,NA,immune cell
lymphatic ec differentiating,NA,NA,endothelial cell
lymphatic ec mature,NA,NA,endothelial cell
lymphatic ec proliferating,NA,NA,endothelial cell
lymphatic endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
lymphocyte,lymphocyte,CL:0000542,lymphocyte
lymphoid cell,lymphocyte,CL:0000542,lymphocyte
lymphoid primed multipotent progenitor,early lymphoid progenitor,CL:0000936,progenitor cell
m1 macrophage,inflammatory macrophage,CL:0000863,macrophage/monocyte
m1 microglial cell,NA,NA,microglia
m2 macrophages,alternatively activated macrophage,CL:0000890,macrophage/monocyte
macroglial cell,macroglial cell,CL:0000126,macroglial cell
macrophage or immune cell,macrophage,CL:0000235,macrophage/monocyte
macrophages or other antigen-presenting cell,"macrophage,professional antigen presenting cell","CL:0000235,CL:0000145","macrophage/monocyte,antigen presenting cell"
macrophages/monocytes,"macrophage,monocyte","CL:0000235,CL:0000576",macrophage/monocyte
mammary epithelial cell,mammary gland epithelial cell,CL:0002327,epithelial cell
marginal zone b cell,NA,NA,b cell
mast,mast cell,CL:0000097,granulocyte
mast progenitor cell,mast cell progenitor,CL:0000831,progenitor cell
mature adipocytes,NA,NA,fat cell
mature b cell,mature B cell,CL:0000785,b cell
mature dendritic cell,NA,NA,dendritic cell
mature hepatocyte,hepatocyte,CL:0000182,epithelial cell
mature keratinocyte,keratinocyte,CL:0000312,epithelial cell
mature mast cell,mast cell,CL:0000097,granulocyte
mature natural killer (nk) cell,mature natural killer cell,CL:0000824,t/nk cell
mature neurons,neuron,CL:0000540,neuron
mature oligodendrocyte,oligodendrocyte,CL:0000128,oligodendrocyte
medullary cell,NA,NA,thyroid cell
megakaryocyte,megakaryocyte,CL:0000556,megakaryocyte
megakaryocyte progenitor cell,megakaryocyte progenitor cell,CL:0000553,progenitor cell
megakaryocyte progenitors,megakaryocyte progenitor cell,CL:0000553,progenitor cell
megakaryocyte-erythroid-mast cell progenitor cell,megakaryocyte-erythroid progenitor cell,CL:0000050,progenitor cell
megakaryocytes,megakaryocyte,CL:0000556,megakaryocyte
memory b,memory B cell,CL:0000787,b cell
memory cd4+ t cell,"CD4-positive, alpha-beta memory T cell",CL:0000897,t/nk cell
memory cd8 t cell,"CD8-positive, alpha-beta memory T cell",CL:0000909,t/nk cell
memory cd8+ t cell,"CD8-positive, alpha-beta memory T cell",CL:0000909,t/nk cell
memory double-positive t cell,NA,NA,t/nk cell
memory t helper cell,NA,NA,t/nk cell
memory t-cell,memory T cell,CL:0000813,t/nk cell
mep,megakaryocyte-erythroid progenitor cell,CL:0000050,progenitor cell
merkel cell,Merkel cell,CL:0000242,epithelial cell
mesangial cell,mesangial cell,CL:0000650,pericyte
mesenchymal progenitor cell,NA,NA,progenitor cell
mesenchymal stem cell,mesenchymal stem cell,CL:0000134,stem cell
mesenchymal stem cell or stromal cells,"mesenchymal stem cell,stromal cell","CL:0000134,CL:0000499","stem cell,stromal cell"
mesenchymal stromal cell,stromal cell,CL:0000499,stromal cell
mesothelial,mesothelial cell,CL:0000077,epithelial cell
metanephric cell,NA,NA,kidney cell
metaplastic-stem cell,NA,NA,stem cell
microglia / perivascular macrophage,"microglial cell,perivascular macrophage","CL:0000129,CL:0000881","microglia,macrophage/monocyte"
"mixed cell types (excitatory neurons, inhibitory neurons)",NA,NA,neuron
"mixed cell types (inhibitory neurons, astrocytes)","NA,astrocyte","NA,CL:0000127","neuron,astrocyte"
"mixed cell types (inhibitory neurons, excitatory neurons)",NA,NA,neuron
monocyte progenitor cell,granulocyte monocyte progenitor cell,CL:0000557,progenitor cell
monocyte-derived macrophage,macrophage,CL:0000235,macrophage/monocyte
monocyte/cdc,"monocyte,conventional dendritic cell","CL:0000576,CL:0000990","macrophage/monocyte,dendritic cell"
monocyte/macrophage,"monocyte,macrophage","CL:0000576,CL:0000235",macrophage/monocyte
motile cilia cell,NA,NA,epithelial cell
msc,mesenchymal stem cell,CL:0000134,stem cell
muc13_dmbt1 positive cell,NA,NA,NA
mucosal associated invariant t,mucosal invariant T cell,CL:0000940,t/nk cell
mucosal cell,NA,NA,mucosal cell
mucosal epithelial cell (not specific to the lung),NA,NA,epithelial cell
mucous,NA,NA,mucosal cell
mucous cell (goblet cells),goblet cell,CL:0000160,epithelial cell
mueller glia cell,Mueller cell,CL:0000636,radial glial cell
multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,epithelial cell
multipotent progenitor cell,NA,NA,progenitor cell
multipotent progenitors,NA,NA,progenitor cell
muscularis cell,NA,NA,mucosal cell
myelocyte,myelocyte,CL:0002193,progenitor cell
myeloid dendritic cell,myeloid dendritic cell,CL:0000782,dendritic cell
"myeloid dendritic cell (mdcs, cd1c+)",CD1c-positive myeloid dendritic cell,CL:0002399,dendritic cell
myeloid dendritic cell (mdcs),myeloid dendritic cell,CL:0000782,dendritic cell
myeloid derived suppressor cell (mdsc),myeloid suppressor cell,CL:0000889,myeloid cell
myocytes (muscle cell),muscle cell,CL:0000187,muscle cell
myocytes (skeletal muscle cell),cell of skeletal muscle,CL:0000188,muscle cell
myoepithelial cell,myoepithelial cell,CL:0000185,epithelial cell
myofiber,muscle cell,CL:0000187,muscle cell
myofiber/myocyte,muscle cell,CL:0000187,muscle cell
myofibroblastic cancer-associated fibroblast,NA,NA,malignant cell
myofibroblasts or smooth muscle cell,"myofibroblast cell,smooth muscle cell","CL:0000186,CL:0000192",muscle cell
myotube,myotube,CL:0002372,muscle cell
naive b,naive B cell,CL:0000788,b cell
naive b cell,naive B cell,CL:0000788,b cell
naive cd4 t,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell
naive cd4 t cell,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell
naive cd4+ t cell,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell
naive cd8 t,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell
naive cd8+ t cell,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell
naive-like t cell,naive T cell,CL:0000898,t/nk cell
natural killer,natural killer cell,CL:0000623,t/nk cell
natural killer  cell,natural killer cell,CL:0000623,t/nk cell
natural killer cd56+,NA,NA,t/nk cell
natural killer t,NA,NA,t/nk cell
natural killer t (nkt) cell,NA,NA,t/nk cell
natural killer t(nkt)-like cell,NA,NA,t/nk cell
nephron epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell
nerve cell,neuron,CL:0000540,neuron
nerve mesenchymal cell,NA,NA,mesenchymal cell
neural crest cell,neural crest cell,CL:0011012,stem cell
neural stem cell,neural stem cell,CL:0000047,stem cell
neuroepithelial_cell,neuroepithelial stem cell,CL:0002259,stem cell
neuron or brain cell,"neuron,NA","CL:0000540,NA",neuron
neuronal,neuron,CL:0000540,neuron
neurons (not specific to kidney),neuron,CL:0000540,neuron
neurons or chromaffin cell,"neuron,chromaffin cell","CL:0000540,CL:0000166","neuron,epithelial cell"
neurons or glial cell,"neuron,glial cell","CL:0000540,CL:0000125",neuron
neurons or neuronal progenitor cell,"neuron,NA","CL:0000540,NA",neuron
neurons or retinal cell,"neuron,retinal cell","CL:0000540,CL:0009004",neuron
"neurons, astrocytes, or oligodendrocytes","neuron,astrocyte,oligodendrocyte","CL:0000540,CL:0000127,CL:0000128","neuron,astrocyte,oligodendrocyte"
neutrophil or granulocyte,"neutrophil,granulocyte","CL:0000775,CL:0000094",granulocyte
neutrophil or immune cell,"neutrophil,NA","CL:0000775,NA",granulocyte
neutrophil progenitor cell,neutrophil progenitor cell,CL:0000834,progenitor cell
nk cell/monocytes,"natural killer cell,monocyte","CL:0000623,CL:0000576","t/nk cell,macrophage/monocyte"
nk t cell,NA,NA,t/nk cell
nk_cd56bright,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938 ,t/nk cell
nk_cell,natural killer cell,CL:0000623,t/nk cell
nkt cell,NA,NA,t/nk cell
non-neuroendocrine cell,NA,NA,NA
non-β endocrine cell,NA,NA,NA
noninflammatory macrophage,NA,NA,macrophage/monocyte
normal cell,NA,NA,NA
oligodendrocyte precursor cell,oligodendrocyte precursor cell,CL:0002453,progenitor cell
oligodendrocyte precursor cell (opcs),oligodendrocyte precursor cell,CL:0002453,progenitor cell
oral epithelium cell,NA,NA,epithelial cell
osteocyte,osteocyte,CL:0000137,osteocyte
outer radial glia,NA,NA,radial glial cell
outflow tract(oft) cell,NA,NA,heart cell
paep_mecom positive cell,NA,NA,NA
paget cell,NA,NA,malignant cell
pan leukocyte,leukocyte,CL:0000738,leukocyte
pan-endothelial cell,endothelial cell,CL:0000115,endothelial cell
pancreatic beta cell,type B pancreatic cell,CL:0000169,epithelial cell
pancreatic duct cell,pancreatic ductal cell,CL:0002079,epithelial cell
pancreatic ductal cell,pancreatic ductal cell,CL:0002079,epithelial cell
pancreatic islet cell (beta cell),type B pancreatic cell,CL:0000169,epithelial cell
pancreatic polypeptide (pp) cell,pancreatic PP cell,CL:0002275,epithelial cell
pancreatic polypeptide cell,pancreatic PP cell,CL:0002275,epithelial cell
pancreatic progenitor cell,NA,NA,progenitor cell
pancreatic stellate cell,pancreatic stellate cell,CL:0002410,fibroblast
panvascular cell,NA,NA,blood vessel cell
papillary tip epithelial,papillary tips cell,CL:1000597,epithelial cell
parietal and chief cell,"parietal cell,NA","CL:0000162,NA",epithelial cell
parietal cell,parietal cell,CL:0000162,epithelial cell
parietal cell (gastric epithelium),parietal cell,CL:0000162,epithelial cell
parietal epithelial,parietal epithelial cell,CL:1000452,epithelial cell
parvalbumin interneuron,pvalb GABAergic cortical interneuron,CL:4023018,neuron
patelet,platelet,CL:0000233,platelet
pdc,plasmacytoid dendritic cell,CL:0000784,dendritic cell
pdcs (plasmacytoid dendritic cell),plasmacytoid dendritic cell,CL:0000784,dendritic cell
pelvic epithelial cell,NA,NA,epithelial cell
perichondrial embryonic skeletal stem cell,NA,NA,stem cell
pericyte,pericyte,CL:0000669,pericyte
pericyte 1,pericyte,CL:0000669,pericyte
pericytes or vascular smooth muscle cell,"pericyte,vascular associated smooth muscle cell","CL:0000669,CL:0000359","pericyte,muscle cell"
peridermal keratinocyte,NA,NA,epithelial cell
periportal fibroblasts,NA,NA,fibroblast
peritubular capillary endothelial cell,peritubular capillary endothelial cell,CL:1001033,endothelial cell
perivascular cell,NA,NA,blood vessel cell
photoreceptor cell,photoreceptor cell,CL:0000210,neuron
pigment epithelial cell,NA,NA,epithelial cell
pineal gland cell,NA,NA,brain cell
placental trophoblast cell,placental villous trophoblast,CL:2000060,extraembryonic cell
plasma,plasma cell,CL:0000786,b cell
plasmablast,plasmablast,CL:0000980,b cell
plasmacytoid dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell
plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell
plasmacytoid dendritic cell (pdcs),plasmacytoid dendritic cell,CL:0000784,dendritic cell
plasmacytoid dendritic cell(pdc),plasmacytoid dendritic cell,CL:0000784,dendritic cell
platelet,platelet,CL:0000233,platelet
platelet/megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte"
platelets (megakaryocyte-derived),platelet,CL:0000233,platelet
platelets or megakaryocytes,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte"
pneumocytes (various types),NA,NA,lung cell
podocyte,podocyte,CL:0000653,epithelial cell
podocytes,podocyte,CL:0000653,epithelial cell
portal fibroblast,hepatic portal fibroblast,CL:0009100,fibroblast
pp cell,PP cell,CL:0000696,epithelial cell
pre-b cell,NA,NA,b cell
pre-b_cell_cd34-,NA,NA,b cell
pre-dendritic cell,pre-conventional dendritic cell,CL:0002010,dendritic cell
preb/t,NA,NA,leukocyte
precursor b,precursor B cell,CL:0000817,b cell
precursor b cell,precursor B cell,CL:0000817,b cell
precursor myeloid dendritic dell,NA,NA,progenitor cell
precursor plasmacytoid dendritic cell,NA,NA,progenitor cell
primed human pluripotent stem cell,NA,NA,stem cell
principal,renal principal cell,CL:0005009,epithelial cell
principal cell (collecting duct),kidney collecting duct principal cell,CL:1001431,epithelial cell
pro-b cell,pro-B cell,CL:0000826,progenitor cell
pro-b_cell_cd34+,early pro-B cell,CL:0002046,progenitor cell
progenitor b,pro-B cell,CL:0000826,progenitor cell
progenitor cell,progenitor cell,CL:0011026,progenitor cell
progenitor megakaryocyte,megakaryocyte progenitor cell,CL:0000553,progenitor cell
proliferating cd8+ t cell,NA,NA,t/nk cell
proliferating cell,NA,NA,NA
"proliferating cell (e.g., cancer cells, progenitor cells)",NA,NA,NA
proliferating cell (not specific to a single cell type),NA,NA,NA
proliferating cell (possibly cancer cells),NA,NA,malignant cell
proliferating cytotoxic t cell,NA,NA,t/nk cell
proliferating hepatocytes,NA,NA,epithelial cell
proliferating macrophage,NA,NA,macrophage/monocyte
proliferating natural killer,NA,NA,t/nk cell
proliferating nk cell,NA,NA,t/nk cell
proliferating nk/t,NA,NA,t/nk cell
proliferating t,NA,NA,t/nk cell
proliferating t/nk,NA,NA,t/nk cell
proliferative cell,NA,NA,NA
prom1high progenitor cell,NA,NA,progenitor cell
proximal straight tubular cell,kidney proximal straight tubule epithelial cell,CL:1000839,epithelial cell
proximal tubule,epithelial cell of proximal tubule,CL:0002306,epithelial cell
proximal tubule cell (kidney),epithelial cell of proximal tubule,CL:0002306,epithelial cell
"proximal tubule cell, loop of henle cell","epithelial cell of proximal tubule,kidney loop of Henle epithelial cell","CL:0002306,CL:1000909",epithelial cell
purkinje neurons,Purkinje cell,CL:0000121,neuron
putative myogenic progenitor cell,NA,NA,progenitor cell
pvalb+ gabaergic neuron,pvalb GABAergic cortical interneuron,CL:4023018,neuron
pyramidal neurons,pyramidal neuron,CL:0000598,neuron
quiescent stellate,NA,NA,fibroblast
radial glial cell,radial glial cell,CL:0000681,radial glial cell
red blood cell (erythrocyte),erythrocyte,CL:0000232,erythroid cell
red blood cell (erythrocytes),erythrocyte,CL:0000232,erythroid cell
red blood cell or erythrocyte,erythrocyte,CL:0000232,erythroid cell
regenerative stem cell,NA,NA,stem cell
regulatory cd4 t cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CL:0000792,t/nk cell
regulatory t,regulatory T cell,CL:0000815,t/nk cell
regulatory t cell (tregs),regulatory T cell,CL:0000815,t/nk cell
renal glomerular cell,kidney glomerular epithelial cell,CL:1000510,epithelial cell
renal intercalated cell,renal intercalated cell,CL:0005010,epithelial cell
renal interstitial fibroblasts,NA,NA,fibroblast
renal proximal tubule cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell
renal stromal cell,NA,NA,stromal cell
renal tubule cell,NA,NA,epithelial cell
renal vesicle cell,NA,NA,kidney cell
residual embryonic cell,NA,NA,embryonic cell
respiratory tract cell,NA,NA,respiratory tract cell
retina cell,retinal cell,CL:0009004,neuron
retinal bipolar cell,retinal bipolar neuron,CL:0000748,neuron
retinal cell,retinal cell,CL:0009004,neuron
retinal cell or photoreceptor cells,"retinal cell,photoreceptor cell","CL:0009004,CL:0000210",neuron
retinal pigment cell,retinal pigment epithelial cell,CL:0002586,epithelial cell
retinal pigment epithelium cell,retinal pigment epithelial cell,CL:0002586,epithelial cell
retinal pigment epithelium cell (not specific to kidney),retinal pigment epithelial cell,CL:0002586,epithelial cell
retinal progenitors and muller glia,"retinal progenitor cell,Mueller cell","CL:0002672,CL:0000636","progenitor cell,radial glial cell"
rheaume et al.nat commun.25,NA,NA,NA
ribosomal or hemoglobin-associated cell,NA,NA,NA
ribosomal proteins-expressing cell,NA,NA,NA
"ribosome-rich cell (e.g., proliferating cells)",NA,NA,NA
salivary gland acinar cell,acinar cell of salivary gland,CL:0002623,epithelial cell
satb2_lrrc7 positive cell,NA,NA,NA
satellite cell (muscle stem cells),NA,NA,stem cell
scar‐associated macrophage (sam),NA,NA,macrophage/monocyte
schwann,Schwann cell,CL:0002573,glial cell
schwann cell ,Schwann cell,CL:0002573,glial cell
schwann cell or glial cells,"Schwann cell,glial cell","CL:0002573,CL:0000125",glial cell
schwann cell or other neural crest-derived cells,"Schwann cell precursor,NA","CL:0002375,NA",progenitor cell
schwann precursor cell,Schwann cell precursor,CL:0002375,progenitor cell
sebocyte,sebum secreting cell,CL:0000317,secretory cell
sebocytes (sebaceous gland cell),sebum secreting cell,CL:0000317,secretory cell
secretory,secretory cell,CL:0000151,secretory cell
secretory cell,secretory cell,CL:0000151,secretory cell
secretory cell (epithelial or glandular cell),secretory cell,CL:0000151,secretory cell
secretory cell of sweat glands,sweat secreting cell,CL:0000318,secretory cell
secretory club cell,club cell,CL:0000158,epithelial cell
secretory luminal epithelial cell (producing prostate-specific antigen),luminal cell of prostate epithelium,CL:0002340,epithelial cell
secretory progenitor cell,NA,NA,progenitor cell
secretory prostate epithelial cell,NA,NA,secretory cell
secretory transient-amplifying cell,NA,NA,secretory cell
serous,serous secreting cell,CL:0000313,secretory cell
sinusoidal endothelial,endothelial cell of sinusoid,CL:0002262,endothelial cell
skeletal muscle cell or myoblasts,"cell of skeletal muscle,myoblast","CL:0000188,CL:0000056",muscle cell
skin keratinocyte,keratinocyte,CL:0000312,epithelial cell
skin keratinocytes,keratinocyte,CL:0000312,epithelial cell
skin resident t cell,NA,NA,t/nk cell
slc16a7+ cell,NA,NA,NA
slc26a4_paep positive cell,NA,NA,NA
smooth muscle,smooth muscle cell,CL:0000192,muscle cell
"smooth muscle cell (e.g., arrector pili muscles)",smooth muscle cell,CL:0000192,muscle cell
smooth muscle cell (myoepithelial),smooth muscle cell,CL:0000192,muscle cell
smooth_muscle_cell,smooth muscle cell,CL:0000192,muscle cell
sncg+ gabaergic neuron,sncg GABAergic cortical interneuron,CL:4023015,neuron
somatostatin-producing cell,somatostatin secreting cell,CL:0000172,secretory cell
spermatid,spermatid,CL:0000018,germ cell
spermatocyte,spermatocyte,CL:0000017,germ cell
spermatogenic cell,male germ line stem cell (sensu Vertebrata),CL:0000089,stem cell
spermatogonium,spermatogonium,CL:0000020,germ cell
spinous cell,prickle cell,CL:0000649,epithelial cell
squamous epithelia,squamous epithelial cell,CL:0000076,epithelial cell
sst+ chodl+ gabaergic neuron,sst chodl GABAergic cortical interneuron,CL:4023121,neuron
sst+ gabaergic neuron,sst GABAergic cortical interneuron,CL:4023017,neuron
stc2_tlx1 positive cell,NA,NA,NA
stellate cell,NA,NA,fibroblast
stem/progenitor cell,"stem cell,progenitor cell","CL:0000034,CL:0011026","stem cell,progenitor cell"
"steroidogenic cell (e.g., in adrenal cortex or gonads)",Leydig cell,CL:0000178,interstitial cell
stomach parietal cell,parietal cell,CL:0000162,epithelial cell
stratified esophageal cell,NA,NA,epithelial cell
stratum corneum (outermost layer) keratinocytes,NA,NA,epithelial cell
striated muscle cell,striated muscle cell,CL:0000737,muscle cell
stromal,stromal cell,CL:0000499,stromal cell
stromal cell,stromal cell,CL:0000499,stromal cell
stromal progenitor cell,NA,NA,progenitor cell
submucosal secretory,NA,NA,secretory cell
suprabasal keratinocyte,NA,NA,epithelial cell
suprabasal keratinocytes,NA,NA,epithelial cell
supratentorial-radial-glia-like cell,radial glial cell,CL:0000681,radial glial cell
surfactant-producing cell,surfactant secreting cell,CL:0000157,secretory cell
sympathetic neurons,sympathetic neuron,CL:0011103,neuron
sympathoblast cell,NA,NA,progenitor cell
sympathoblasts,NA,NA,progenitor cell
syncytiotrophoblast,syncytiotrophoblast cell,CL:0000525,extraembryonic cell
syncytiotrophoblast cell,syncytiotrophoblast cell,CL:0000525,extraembryonic cell
syncytiotrophoblasts and villous cytotrophoblasts,"syncytiotrophoblast cell,placental villous trophoblast","CL:0000525,CL:2000060",extraembryonic cell
synovial cell,synovial cell,CL:0000214,epithelial cell
t,T cell,CL:0000084,t/nk cell
t cell (cd4+),"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell
t cell (cd8+),"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell
t cell (invariant natural killer t cell),NA,NA,t/nk cell
t cell lineage,T cell,CL:0000084,t/nk cell
t cell or natural killer (nk) cells,"T cell,natural killer cell","CL:0000084,CL:0000623",t/nk cell
t cell or t cell precursors,"T cell,NA","CL:0000084,NA",t/nk cell
t follicular helper cell,T follicular helper cell,CL:0002038,t/nk cell
t helper 1(th1) cell,T-helper 1 cell,CL:0000545,t/nk cell
t helper cell,helper T cell,CL:0000912,t/nk cell
t lymphocyte,T cell,CL:0000084,t/nk cell
t regulatory cell,regulatory T cell,CL:0000815,t/nk cell
t_cell,T cell,CL:0000084,t/nk cell
tanycytes,tanycyte,tanycyte,astrocyte
tenocytes,tendon cell,CL:0000388,stromal cell
tenocytes (tendon cell),tendon cell,CL:0000388,stromal cell
terminal effector cd8+ t cell,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
th17 cell,T-helper 17 cell,CL:0000899,t/nk cell
thick ascending limb,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,epithelial cell
thick ascending limb (tal) cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,epithelial cell
thick ascending loop of henle(talh) cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,epithelial cell
thymic epithelial cell,epithelial cell of thymus,CL:0002293,epithelial cell
thymic epithelial cell (tec),epithelial cell of thymus,CL:0002293,epithelial cell
thymocytes,thymocyte,CL:0000893,t/nk cell
tissue resident macrophage,tissue-resident macrophage,CL:0000864,macrophage/monocyte
tissue_stem_cell,NA,NA,stem cell
tissue-resident macrophage,tissue-resident macrophage,CL:0000864,macrophage/monocyte
tonsillar epithelial cell,NA,NA,epithelial cell
transitional b,transitional stage B cell,CL:0000818,b cell
transitional b cell,transitional stage B cell,CL:0000818,b cell
transitional cell,NA,NA,NA
trigeminal schwann cell,NA,NA,glial cell
trophoblast giant cell,trophoblast giant cell,CL:0002488,extraembryonic cell
tumor‐associated macrophage (tam),NA,NA,malignant cell
type ii pneumocyte,type II pneumocyte,CL:0002063,epithelial cell
type ii pneumocyte or lung alveolar cell,"type II pneumocyte,NA","CL:0002063,NA",epithelial cell
undifferentiated pancreatic progenitor cell,NA,NA,progenitor cell
unipolar brush cell,unipolar brush cell,CL:4023161,neuron
unknown,NA,NA,NA
unknown/unspecified,NA,NA,NA
valve interstitial cell,valve interstitial cell,CL:4030032,interstitial cell
vascual central venous endothelial,NA,NA,endothelial cell
vascual portal endothelial,NA,NA,endothelial cell
vascular cell,NA,NA,blood vessel cell
vascular endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell
vascular lepotomeningeal cell,vascular leptomeningeal cell,CL:4023051,fibroblast
vascular smooth muscle / pericyte,"vascular associated smooth muscle cell,pericyte","CL:0000359,CL:0000669","muscle cell,pericyte"
vascular smooth muscle cell or pericytes,"vascular associated smooth muscle cell,pericyte","CL:0000359,CL:0000669","muscle cell,pericyte"
vascular smooth muscle cell(vsmc),vascular associated smooth muscle cell,CL:0000359,muscle cell
vein,NA,NA,blood vessel cell
venous endothelial,vein endothelial cell,CL:0002543,endothelial cell
ventricle cell,NA,NA,heart cell
ventricular cardiomyocyte,ventricular cardiac muscle cell,CL:2000046,muscle cell
ventricular cell,NA,NA,heart cell
ventricular myocyte,NA,NA,muscle cell
vip+ gabaergic neuron,vip GABAergic cortical interneuron,CL:4023016,neuron
visceral neurons,visceromotor neuron,CL:0005025,neuron
visual cortex neurons,visual system neuron,CL:0008028,neuron
white blood cell,NA,NA,leukocyte
zona fasciculata cell,type II cell of adrenal cortex,CL:0002136,epithelial cell
zona reticularis cell,type III cell of adrenal cortex,CL:0002137,epithelial cell
α-intercalated cell (collecting duct system),kidney collecting duct alpha-intercalated cell,CL:4030015,epithelial cell
β-intercalated cell (collecting duct system),kidney collecting duct beta-intercalated cell,CL:4030005,epithelial cell
γδ-t cell,gamma-delta T cell,CL:0000798,t/nk cell
δ cell,pancreatic D cell,CL:0000173,epithelial cell
