"simuround","noise","gene","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
5,0.5,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC112935979,MAPK8IP1P1,FOXA2","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
5,0.5,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,RNA5SP470,RN7SL87P,THPO,TRP-TGG3-5,MIR4520-1,DUX4L28,LOC105375034,LOC105371223,RGS4","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
5,0.5,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,RPL5P9,MTND4LP10,ACTBP15","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
5,0.5,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,LINC02559,SNX27,UPK1A,ZNF20","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial cells","myoepithelial cell","CL:0000185","epithelial cell",1
5,0.5,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,MIR7160,RNU6-1320P,LOC105378387,LOC121048723","Pericyte","pericyte","CL:0000669","pericyte","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",0
5,0.5,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,TRQ-CTG12-1,PRICKLE4,RNU1-91P,MRPL48,DEPDC1P2,RPL3P2,MAFK","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
5,0.5,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,SF3B2,LOC105379127,LOC105371840,NLRP5,RNA5SP407,ADCK5","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
5,0.5,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,RHBG,CACNG2,SYNE1-AS1,HCN3,LOC105379052,MSD,PPP1R14D","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
5,0.75,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC102724770,TSFM,PHC1,RNU6-419P,RNU6-599P,LOC116186904,LRRC61","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
5,0.75,"CR2,CD24,FAS,CXCR3,CD1c,XCE,TJAP1,TRQ-CTG2-1","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
5,0.75,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,BRD9P1,LOC108228197,ZFP90,LOC101927446,STMN1P1,H2BC8,H1-7,NUP210P3,RPL21P88,LOC105373475,LOC112935963,LOC107985917,LOC111365186,LOC100420966,LOC123620082,RPL21P59,TNFRSF10C,AK7,TRA-AGC18-1,KBTBD7,LOC111365195","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
5,0.75,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,ELL2P2,LOC105374371,LOC105373262,CCL22,TRP-TGG3-1,RNU2-65P,ERVK-13,LOC105373771,HOMER3-AS1,TDH,PDCL,CTXN1","Luminal Epithelial",NA,NA,"epithelial cell","Breast Epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
5,0.75,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,RNA5SP392,LOC121331309,MIA-RAB4B,CMKLR2-AS,UQCRFS1P2","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
5,0.75,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC101927468,LINC02284,LOC101929048,MYOCOS,LOC100418957,LOC105378562,SLC35G1,CCT7P1,IGHV3-23,LOC121587564,DNAAF11,LINC02135,FAM83B,LOC105375985","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
5,0.75,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC113875028,ERVK-15,LOC105378009,LOC111674477","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
5,0.75,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,MYL10,LOC105376015,NLRP5,MFF,SIGLEC25P,LINC02667","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Epithelial cells and Smooth Muscle cells","epithelial cell,smooth muscle cell","CL:0000066,CL:0000192","epithelial cell,muscle cell",0.5
5,0.75,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,NF2,BNIP3P35,MIR370,LINC00113,LOC105373018,TRMT112P3","Pericyte","pericyte","CL:0000669","pericyte","Smooth Muscle cells","smooth muscle cell","CL:0000192","muscle cell",0
5,0.75,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RGS16,ASAH1,ADAM15,KRT27,GOLGA2P1,OR8A2P,LOC105370178,IQCM,LOC101060159,NFATC2,LOC122094906","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
5,0.75,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC111365143,OAP,LINC01449,RAD51-AS1,PPIAP91,KRT8P50,LINC01812,INPPL1,LOC105374595","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
5,0.75,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,PARG,LOC121832823,EMC9,LOC111413017,BPY2,UBXN7,LOC105374399,LOC105379107,UBE2V2P1,TPGS2","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
